Timestamp,Which age group do you belong to?,What is your gender?,Which category do you currently belong to?,Which of the following best describes you?,Which of these factors are important to you when deciding which car to purchase?,How likely are you to opt for customised vehicle if there were no extra charges? ,"Which of the following exterior components would you choose to customise (texture, layout, size, etc)? ","Which of the following interior components would you choose to customise (texture, layout, size, etc)? ",How much are you willing to spend on car customisation if surcharges are applicable?,Are you interested in designing your own components to personalise your car? ,How much are you willing to pay for the personalised design? ,"Do you have any 3D design experience that would help with the design process? (e.g. AutoCAD, SolidWorks, Blender, etc)"
2021/10/11 7:56:25 PM GMT+8,41-50,Female,Own a car,Married with no children,Price;Brand name;Aesthetics;Technological features;Functionality;Size;Customisable options;Sustainability/environment considerations,Very likely,Wheels;Grilles;Headlights;Side mirrors;Bumpers,Steering wheel;Centre compartment;Door handles;Dashboard,over 1000,No,over 1000,"No, I would need a designer to model my sketch"
2021/10/11 7:56:42 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality;Sustainability/environment considerations,Not likely,Wheels;Headlights,Dashboard,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch"
2021/10/11 7:56:47 PM GMT+8,41-50,Male,Own a car,Married with no children,Price;Brand name;Aesthetics;Technological features;Functionality;Size;Customisable options,Likely,Wheels;Headlights;Bumpers,Steering wheel;Dashboard,under 500,Only with professional help,under 500,"Yes, I can design on my own"
2021/10/11 7:56:55 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Brand name;Technological features;Functionality;Customisable options,Very likely,Wheels,Steering wheel;Centre compartment;Door handles;Dashboard,over 1000,Only with professional help,over 1000,"Yes, I can design on my own"
2021/10/11 7:56:59 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Aesthetics;Technological features;Functionality;Size,Very likely,Wheels;Headlights;Bumpers,Steering wheel;Centre compartment;Door handles;Music Player and sound systems,500-1000,Only with professional help,500-1000,"Yes, I can design on my own"
2021/10/11 7:57:06 PM GMT+8,31-40,Female,"Do not own a car, but planning to purchase in future",Single,Price;Aesthetics;Technological features;Functionality,Very likely,Wheels,Dashboard,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch"
2021/10/11 7:57:18 PM GMT+8,20-30,Male,Own more than one car,Single,Price;Brand name;Aesthetics;Technological features;Functionality;Size,Very likely,Headlights;Side mirrors,Steering wheel;Door handles;Dashboard,under 500,Only with professional help,over 1000,"No, I would need a designer to model my sketch"
2021/10/11 7:57:30 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality,Likely,Wheels;Grilles;Headlights,Steering wheel,500-1000,No,500-1000,"Yes, I can design on my own"
2021/10/11 7:57:30 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Customisable options,Very likely,Wheels;Headlights;Bumpers,Steering wheel;Centre compartment;Dashboard,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch"
2021/10/11 7:57:47 PM GMT+8,41-50,Male,"Do not own a car, but planning to purchase in future",Single,Brand name;Aesthetics;Technological features;Functionality,Very likely,Grilles;Headlights;Side mirrors;Bumpers,Steering wheel;Centre compartment;Door handles;Dashboard,over 1000,Yes,over 1000,"No, I would need a designer to model my sketch"
2021/10/11 7:57:49 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Technological features;Functionality;Sustainability/environment considerations,Likely,Grilles;Headlights;Bumpers,Centre compartment;Dashboard,under 500,Only with professional help,500-1000,"No, I would need a designer to model my sketch"
2021/10/11 7:58:01 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Functionality,Very likely,Wheels;Bumpers,Steering wheel;Dashboard,500-1000,Yes,500-1000,"Yes, I can design on my own"
2021/10/11 7:58:05 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Sustainability/environment considerations,Very likely,Bumpers,Steering wheel,500-1000,Yes,500-1000,"No, I would need a designer to model my sketch"
2021/10/11 7:58:09 PM GMT+8,51-60,Male,Own a car,Married with children,Price;Brand name;Aesthetics;Sustainability/environment considerations,Likely,Wheels;Grilles;Side mirrors;Bumpers,Steering wheel;Dashboard,500-1000,Yes,under 500,"No, I would need a designer to model my sketch"
2021/10/11 7:58:20 PM GMT+8,31-40,Male,Own a car,Married with no children,Price;Brand name;Aesthetics;Size;Sustainability/environment considerations,Likely,Wheels;Grilles;Headlights,Steering wheel;Dashboard;air vent,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch"
2021/10/11 7:58:28 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality,Very likely,Wheels;Headlights;Bumpers;add body kit and change the exhaust and tune the engine,Steering wheel;Centre compartment,under 500,Yes,0,"No, I would need a designer to model my sketch"
